,location,CATEGORY,GU_NM,CATEGORY_2,INSTL_DIV,ADR_NEW,ADR_OLD,TEL,LAT,LON
1,천마재활원,재활원,서구,서민·복지시설,SKT,부산광역시 서구 천해로 7번길 55-10,부산광역시 서구 암남동 81-90,051-888-4604,35.0802937,129.019172
2,천마산조각공원,공원,서구,관광,SKT,부산광역시 서구 남부민동 14-1,부산광역시 서구 남부민동 14-1,051-888-4604,35.091343,129.018327
3,은애모자원,모자원,서구,서민·복지시설,KT,부산광역시 서구 장군산로 103번길 6,부산광역시 서구 암남동 169-1,051-888-4604,35.0702691,129.016094
4,암남동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 충무대로 85,부산광역시 서구 암남동 676-1번지,051-888-4604,35.0799388,129.0213237
5,안나모자원,모자원,서구,서민·복지시설,KT,부산광역시 서구 꽃마을로 163번길 40,부산광역시 서구 서대신동3가 7-23,051-888-4604,35.1279547,129.0057797
6,아미시장,시장,서구,서민·복지시설,LGU+,부산광역시 서구 아미초장로 132,부산광역시 서구 아미동2가 96-11,051-888-4604,35.0996486,129.0174768
7,아미동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 해돋이로269번길 17,부산광역시 서구 아미동2가 133-8,051-888-4604,35.100182,129.015452
8,송도가정,송도가정,서구,서민·복지시설,LGU+,부산광역시 서구 천해남로 7,부산광역시 서구 암남동 5-7번지,051-888-4604,35.0839451,129.0123595
9,송남시장,시장,서구,서민·복지시설,LGU+,부산광역시 서구 암남동 346-2,부산광역시 서구 암남동 346-2,051-888-4604,35.0785144,129.0168094
10,서대신4동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 보수대로 303,부산광역시 서구 서대신동3가 706-11,051-888-4604,35.119201,129.012579
11,서대신3동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 대신로 27,부산광역시 서구 서대신동3가 609,051-888-4604,35.113484,129.011935
12,서대신1동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 구덕로315번길 49,부산광역시 서구 서대신동2가 179-1,051-888-4604,35.111091,129.014454
13,서대신1동 골목시장,시장,서구,서민·복지시설,LGU+,부산광역시 서구 서대신동2가 99-5,부산광역시 서구 구덕로295번길 4,051-888-4604,35.110422,129.0173213
14,서구청 평생학습관,민원실,서구,관공서,LGU+,부산광역시 서구 구덕로 120,부산광역시 서구 토성동4가 2-3번지,051-888-4604,35.0976972,129.0241259
15,서구노인복지관,복지관,서구,서민·복지시설,LGU+,부산광역시 서구 장군산로 46번길 21,부산광역시 서구 암남동 553-1,051-888-4604,35.0732005,129.0142802
16,부산서구청,민원실,서구,관공서,LGU+,부산광역시 서구 구덕로 120,부산광역시 서구 토성동4가 2-3번지,051-888-4604,35.0976972,129.0241259
17,부산서구청,민원실,서구,관공서,KT,부산광역시 서구 구덕로 120,부산광역시 서구 토성동4가 2,051-888-4604,35.097922,129.024201
18,부산기독교종합사회복지관,복지관,서구,서민·복지시설,LGU+,부산광역시 서구 까치고개로229번길 40,부산광역시 서구 토성동2가 4-1번지,051-888-4604,35.1014098,129.021133
19,부민동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 임시수도기념로 22-11,부산광역시 서구 부민동3가 29-1,051-888-4604,35.103831,129.018465
20,부민노인복지관,복지관,서구,서민·복지시설,SKT,부산광역시 서구 부용로 30,부산광역시 서구 부용동2가 86,051-888-4604,35.1074863,129.0180367
21,동대신3동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 대영로73번길 92,부산광역시 서구 동대신동3가 329-1,051-888-4604,35.1144341,129.0172561
22,동대신2동 주민센터,민원실,서구,관공서,SKT,부산광역시 서구 동대신동2가 933-1,부산광역시 서구 동대신동2가 933-1,051-888-4604,35.1129848,129.0232214
23,동대신1동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 구덕로280번길 32,부산광역시 서구 동대신동1가 202,051-888-4604,35.1096039,129.0202049
24,동대신1동 골목시장,시장,서구,서민·복지시설,LGU+,부산광역시 서구 대영로74번길 15,부산광역시 서구 동대신동1가 164-7,051-888-4604,35.1098895,129.0196419
25,대신공원,공원,서구,관광,SKT,부산광역시 서구 대신공원로 34-91,부산광역시 서구 서대신동3가 2-3,051-888-4604,35.1239131,129.018538
26,남부민2동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 천마로 87,부산광역시 서구 남부민동 456-6,051-888-4604,35.0843062,129.0230598
27,남부민1동 주민센터,민원실,서구,관공서,LGU+,부산광역시 서구 충무대로255번길 5-26,부산광역시 서구 남부민동 643-16,051-888-4604,35.092788,129.0233929
28,부산 스마트팜,0,0,0,0,0,0,0,35.18575,129.1033
